time,stock,vwap
9:00:00,BIS,18.45
9:00:00,BITA,19.17
9:00:00,BIV,81.91
9:00:00,BJ,26.49
9:00:00,BJRI,52.94
9:00:00,BK,52.22
9:00:00,BKD,8.04
9:00:00,BKE,17.49
9:00:00,BKEP,2.13
9:00:00,BKEPP,5.74
9:00:00,BKH,65.6
9:00:00,BKI,48.22
9:00:00,BKLN,22.44
9:00:00,BKNG,1825.1
9:00:00,BKS,5.8
9:00:00,BKU,34.01
9:00:00,BL,44.64
9:00:00,BLBD,19.58
9:00:00,BLCM,3.13
9:00:00,BLD,49.59
9:00:00,BLDP,3.59
9:00:00,BLDR,12.77
9:00:00,BLHY,23.65
9:00:00,BLIN,0.25
9:00:00,BLK,405.3
9:00:00,BLKB,69.03
9:00:00,BLL,51.62
9:00:00,BLMN,19.06
9:00:00,BLMT,33.24
9:00:00,BLNK,2.14
9:00:00,BLPH,0.68
9:00:00,BLRX,0.65
9:00:00,BLUE,125.2
9:00:00,BMA,57.07
9:00:00,BMCH,16.62
9:00:00,BME,39.35
9:00:00,BMI,51.94
9:00:00,BMO,73.47
9:00:00,BMRC,43.2
9:00:00,BMRN,94.07
9:00:00,BMS,48.2
9:00:00,BMTC,37.46
9:00:00,BMY,48.57
9:00:00,BNCL,15.67
9:00:00,BND,79.56
9:00:00,BNDX,54.7
9:00:00,BNED,5.73
9:00:00,BNFT,53.99
9:00:00,BNO,17.49
9:00:00,BNS,56.42
9:00:00,BOCH,10.6
9:00:00,BOE,10.2
9:00:00,BOH,77.75
9:00:00,BOIL,24.97
9:00:00,BOKF,85.4
9:00:00,BOLD,22.92
9:00:00,BOND,103.55
9:00:00,BOOM,35.01
9:00:00,BOOT,22.96
9:00:00,BOTZ,18.1
9:00:00,BOX,19.75
9:00:00,BOXL,2.63
9:00:00,BP,40.39
9:00:00,BPFH,11.73
9:00:00,BPI,7.99
9:00:00,BPL,30.24
9:00:00,BPMC,69.62
9:00:00,BPMP,16.09
9:00:00,BPMX,0.1
9:00:00,BPOP,54.9
9:00:00,BPR,17.83
9:00:00,BPRAP,22.95
9:00:00,BPRN,29.77
9:00:00,BPT,24.03
9:00:00,BPTH,1.95
9:00:00,BPY,17.71
9:00:00,BR,100.05
9:00:00,BRC,43.78
9:00:00,BREW,16.12
9:00:00,BRF,22.52
9:00:00,BRFS,6.45
9:00:00,BRG,10.37
9:00:00,BRK.B,203.7
9:00:00,BRKL,14.72
9:00:00,BRKR,34.34
9:00:00,BRKS,30.05
9:00:00,BRO,26.74
9:00:00,BRS,3.75
9:00:00,BRSS,29.12
9:00:00,BRT,12.45
9:00:00,BRX,16.92
9:00:00,BRY,11.28
9:00:00,BRZU,37.3
9:00:00,BSAC,31.87
9:00:00,BSBR,12.59
9:00:00,BSCN,20.38
9:00:00,BSET,19.27
9:00:00,BSGM,4.31
9:00:00,BSIG,12.45
9:00:00,BSL,16.18
9:00:00,BSMX,7.36
9:00:00,BSRR,27.3
9:00:00,BST,29.8
9:00:00,BSTC,64.01
9:00:00,BSTI,4.71
9:00:00,BSV,78.78
9:00:00,BSVN,14.95
9:00:00,BSX,37.22
9:00:00,BT,15.34
9:00:00,BTA,11.42
9:00:00,BTE,1.62
9:00:00,BTG,3.01
9:00:00,BTI,34.24
9:00:00,BTN,1.56
9:00:00,BTO,34.02
9:00:00,BTU,35.55
9:00:00,BTX,1.54
9:00:00,BUD,74.37
9:00:00,BURL,168.42
9:00:00,BUSE,25.64
9:00:00,BV,14.47
9:00:00,BVN,15.69
9:00:00,BVXV,5.29
9:00:00,BWA,40.12
9:00:00,BWB,11.04
9:00:00,BWFG,28.8
9:00:00,BWXT,45.61
9:00:00,BX,33.12
9:00:00,BXC,27.6
9:00:00,BXG,12.74
9:00:00,BXMT,34.13
9:00:00,BXP,128.42
9:00:00,BXS,29.11
9:00:00,BY,18.77
9:00:00,BYD,26.5
9:00:00,BYFC,1.36
9:00:00,BZH,11.61
9:00:00,BZQ,26.41
9:00:00,BZUN,34.76
9:00:00,C,63.24
9:00:00,C-N,26.24
9:00:00,CAAP,7.0
9:00:00,CAC,40.41
9:00:00,CACC,408.5
9:00:00,CACI,157.79
9:00:00,CADE,18.88
9:00:00,CAG,21.13
9:00:00,CAH,49.33
9:00:00,CAI,24.63
9:00:00,CAJ,28.97
9:00:00,CAKE,45.16
9:00:00,CAL,29.49
9:00:00,CALA,4.21
9:00:00,CALM,41.95
9:00:00,CALX,10.75
9:00:00,CAMP,14.13
9:00:00,CAMT,7.02
9:00:00,CANF,1.24
9:00:00,CAPL,17.53
9:00:00,CAR,26.17
9:00:00,CARA,14.77
9:00:00,CARB,27.93
9:00:00,CARG,40.11
9:00:00,CARO,35.05
9:00:00,CARS,27.63
9:00:00,CASA,11.59
9:00:00,CASH,23.84
9:00:00,CASI,3.3
9:00:00,CASS,50.91
9:00:00,CASY,129.69
9:00:00,CAT,127.4
9:00:00,CATM,27.96
9:00:00,CATO,15.14
9:00:00,CATS,12.88
9:00:00,CATY,37.31
9:00:00,CB,131.37
9:00:00,CBAY,8.46
9:00:00,CBB,8.17
9:00:00,CBD,26.1
9:00:00,CBFV,24.15
9:00:00,CBIO,7.94
9:00:00,CBL,2.42
9:00:00,CBLI,1.42
9:00:00,CBLK,15.55
9:00:00,CBM,43.51
9:00:00,CBMG,17.08
9:00:00,CBNK,11.42
9:00:00,CBOE,94.41
9:00:00,CBPO,79.41
9:00:00,CBPX,25.19
9:00:00,CBRE,44.42
9:00:00,CBRL,167.72
9:00:00,CBS,49.48
9:00:00,CBSH,61.01
9:00:00,CBT,47.16
9:00:00,CBU,60.23
9:00:00,CBZ,19.5
9:00:00,CC,35.52
9:00:00,CCB,15.01
9:00:00,CCBG,23.78
9:00:00,CCC,10.39
9:00:00,CCCL,1.86
9:00:00,CCD,19.16
9:00:00,CCEP,45.81
9:00:00,CCF,96.75
9:00:00,CCI,115.28
9:00:00,CCJ,12.21
9:00:00,CCK,49.48
9:00:00,CCL,57.06
9:00:00,CCMP,101.38
9:00:00,CCNE,25.77
9:00:00,CCNI,4.11
9:00:00,CCOI,46.45
9:00:00,CCRN,9.33
9:00:00,CCS,22.2
9:00:00,CCU,27.61
9:00:00,CDAY,39.73
9:00:00,CDE,4.9
9:00:00,CDEV,13.14
9:00:00,CDK,50.52
9:00:00,CDLX,17.59
9:00:00,CDMO,3.74
9:00:00,CDNA,27.06
9:00:00,CDNS,46.5
9:00:00,CDW,82.32
9:00:00,CDXS,17.17
9:00:00,CDZI,10.16
9:00:00,CE,96.43
9:00:00,CEA,30.75
9:00:00,CECO,12.73
9:00:00,CEF,12.88
9:00:00,CEFL,13.59
9:00:00,CEIX,34.7
9:00:00,CELC,21.65
9:00:00,CELG,87.96
9:00:00,CELH,3.61
9:00:00,CEMB,48.86
9:00:00,CENT,38.93
